192.168.1.42,198.35.26.98,TCP,5,1,32
192.168.1.42,66.135.195.175,HTTP,7,1,123
192.168.1.42,216.58.217.46,HTTPS,3,1,312
192.168.1.42,157.52.193.85,UDP,12,2,312
192.168.1.42,17.178.96.59,TCP,3,3,12
192.168.1.42,157.240.3.35,TCP,4,432,312
192.168.1.42,52.24.197.182,UDP,1,32,32
192.168.1.42,172.217.14.206,UDP,6,43,32
192.168.1.42,151.101.192.81,HTTPS,3,123,12
192.168.1.42,151.101.65.67,UDP,2,43,65
192.168.1.42,151.101.65.67,UDP,2,123,34
192.168.1.42,172.217.14.206,UDP,6,413,234
192.168.1.42,172.217.14.206,UDP,6,13,432
